成都移动电信,#genre#
爱电竞,http://125.71.114.18:4022/rtp/239.93.42.19:5140
爱赛车,http://125.71.114.18:4022/rtp/239.93.42.20:5140
爱怀旧,http://125.71.114.18:4022/rtp/239.93.42.21:5140
爱奇谈,http://125.71.114.18:4022/rtp/239.93.42.22:5140
爱幼教,http://125.71.114.18:4022/rtp/239.93.42.17:5140
爱玩具,http://125.71.114.18:4022/rtp/239.93.42.18:5140
爱动漫,http://125.71.114.18:4022/rtp/239.93.42.23:5140
都市剧场,http://125.71.114.18:4022/rtp/239.93.42.30:5140
动漫秀场,http://125.71.114.18:4022/rtp/239.93.42.93:5140
卡酷动画,http://125.71.114.18:4022/rtp/239.93.42.1:5140
卡酷动画,http://yun.jinsome.com:8686/rtp/239.3.1.189:8000$北京联通
卡酷动画,http://175.147.78.115:8888/rtp/232.0.0.54:1234$辽宁联通
金鹰卡通,http://125.71.114.18:4022/rtp/239.93.0.108:5140
金鹰卡通,http://118.254.201.164:8888/udp/239.76.245.120:1234$湖南电信FHD
金鹰卡通,http://118.254.201.164:8888/udp/239.76.246.107:1234$湖南电信高清
金鹰卡通,http://175.147.78.115:8888/rtp/232.0.0.90:1234$辽宁联通
优漫卡通,http://125.71.114.18:4022/rtp/239.93.0.251:5140
优漫卡通,http://yoyotime.cn:2177/rtp/239.49.8.119:8000$江苏电信
炫动卡通,http://125.71.114.18:4022/rtp/239.93.0.173:5140
炫动卡通,http://58.37.132.119:8888/rtp/239.45.1.55:5140$上海电信高清
嘉佳卡通,http://125.71.114.18:4022/rtp/239.93.0.246:5140
嘉佳卡通,http://113.93.55.208:5555/udp/239.77.0.179:5146$广东电信高清
宝宝动画,http://125.71.114.18:4022/rtp/239.93.42.89:5140
少儿动画高清,http://125.71.114.18:4022/rtp/239.93.0.193:9000
青春动漫,http://125.71.114.18:4022/rtp/239.93.0.146:5140
熊猫少儿高清,http://125.71.114.18:4022/rtp/239.93.1.189:5140
金熊猫卡通高清,http://125.71.114.18:4022/rtp/239.93.1.172:5140
红色经典,http://125.71.114.18:4022/rtp/239.93.1.179:5140
动画番剧,http://125.71.114.18:4022/rtp/239.93.1.177:5140
亲子趣学4k,http://125.71.114.18:4022/rtp/239.93.1.191:5140
中录动漫4K,http://125.71.114.18:4022/rtp/239.93.1.188:5140
少儿天地,http://125.71.114.18:4022/rtp/239.93.42.34:5140
4K乐享超清,http://125.71.114.18:4022/rtp/239.93.0.43:5140
精彩影视,http://125.71.114.18:4022/rtp/239.93.42.92:5140
中国天气,http://125.71.114.18:4022/rtp/239.93.42.66:5140
中国交通,http://125.71.114.18:4022/rtp/239.93.0.142:5140
上海纪实高清,http://125.71.114.18:4022/rtp/239.93.1.137:5140
金鹰纪实高清,http://125.71.114.18:4022/rtp/239.93.0.130:5140
熊猫新闻高清,http://125.71.114.18:4022/rtp/239.93.1.112:5140
熊猫体娱高清,http://125.71.114.18:4022/rtp/239.93.0.94:5140
熊猫影院,http://125.71.114.18:4022/rtp/239.93.0.214:5140
睛彩四川,http://125.71.114.18:4022/rtp/239.93.0.126:5140
云看熊猫,http://125.71.114.18:4022/rtp/239.93.0.211:9148
收视导视高清,http://125.71.114.18:4022/rtp/239.93.1.39:5140
熊猫爱生活高清,http://125.71.114.18:4022/rtp/239.93.1.190:5140
大爱四川高清,http://125.71.114.18:4022/rtp/239.93.1.110:5140
大爱旅游高清,http://125.71.114.18:4022/rtp/239.93.42.70:5140
大爱生活高清,http://125.71.114.18:4022/rtp/239.93.42.71:5140
大爱时尚高清,http://125.71.114.18:4022/rtp/239.93.42.72:5140
汽摩,http://125.71.114.18:4022/rtp/239.93.0.62:5140
梨园,http://125.71.114.18:4022/rtp/239.93.1.195:5140
四海钓鱼,http://125.71.114.18:4022/rtp/239.93.0.55:5140
来钓鱼吧,http://125.71.114.18:4022/rtp/239.93.42.8:5140
